algorithm,dataset_name,dataset_dimensions(elements|features|classes),PCA,adversarial_noise,accuracy,precision,recall,f1
LSML_Supervised,german_credit,(1000|24|2),0,0,0.74,0.6813768755516328,0.6272347341537032,0.6373658253553814
LSML_Supervised,german_credit,(1000|24|2),0,0.1,0.704,0.6155470564771581,0.598138663584368,0.6032086479066575
LSML_Supervised,german_credit,(1000|24|2),0,0.2,0.728,0.6782790498501221,0.6323515661524077,0.6411306495535243
LSML_Supervised,german_credit,(1000|24|2),0,0.3,0.7,0.607297348128644,0.5782256958727547,0.5815759523331324
ITML_Supervised,german_credit,(1000|24|2),0,0,0.68,0.6102941176470589,0.5761029411764707,0.5755878108819285
ITML_Supervised,german_credit,(1000|24|2),0,0.1,0.734,0.6875,0.6402524544179523,0.6499539413080669
ITML_Supervised,german_credit,(1000|24|2),0,0.2,0.728,0.6739435447432879,0.6377728805258895,0.6465696465696466
ITML_Supervised,german_credit,(1000|24|2),0,0.3,0.686,0.604964151172682,0.5646096306685368,0.5607433230187286
NCA,german_credit,(1000|24|2),0,0,0.714,0.6499229486394629,0.6363252457002457,0.6413793103448275
NCA,german_credit,(1000|24|2),0,0.1,0.72,0.6618806519055895,0.6210468817690381,0.6286393345216874
NCA,german_credit,(1000|24|2),0,0.2,0.67,0.5931429681429681,0.5712335889769921,0.5722706982097585
NCA,german_credit,(1000|24|2),0,0.3,0.712,0.6682926829268292,0.6134122287968442,0.6180290297937356
MLKR,german_credit,(1000|24|2),0,0,0.668,0.5815850815850816,0.5666666666666667,0.5686070686070687
MLKR,german_credit,(1000|24|2),0,0.1,0.678,0.6211309523809524,0.5731869594145043,0.567183358334543
MLKR,german_credit,(1000|24|2),0,0.2,0.702,0.625,0.5926977571272873,0.597242870658197
MLKR,german_credit,(1000|24|2),0,0.3,0.676,0.591005967604433,0.5641093011035208,0.5633046516141554
LFDA,german_credit,(1000|24|2),0,0,0.698,0.6151162790697675,0.5657507732594547,0.5614519136379742
LFDA,german_credit,(1000|24|2),0,0.1,0.716,0.6427093688707382,0.6023587905417124,0.6085048192505348
LFDA,german_credit,(1000|24|2),0,0.2,0.666,0.5879419977005561,0.5698419797257006,0.5713002182004878
LFDA,german_credit,(1000|24|2),0,0.3,0.69,0.6171104300354372,0.5921248422519825,0.5961838067101225
LMNN,german_credit,(1000|24|2),0,0,0.748,0.7221989309296719,0.6558823529411765,0.6675181017922357
LMNN,german_credit,(1000|24|2),0,0.1,0.714,0.6446593562798254,0.6089695787682364,0.6155727965331655
LMNN,german_credit,(1000|24|2),0,0.2,0.742,0.6858033749082906,0.6366518278699582,0.6473849080740656
LMNN,german_credit,(1000|24|2),0,0.3,0.71,0.6548531097303493,0.644527437880039,0.6486024069523408
RCA_Supervised,isolet,(7797|617|26),10,0,0.7242882790459092,0.7266423368234751,0.7238523143856679,0.7212653508331874
RCA_Supervised,isolet,(7797|617|26),10,0.1,0.7158245704026673,0.7149842267193226,0.7134877218616792,0.7106057838741877
RCA_Supervised,isolet,(7797|617|26),10,0.2,0.7271095152603232,0.7270289086090176,0.726091386222156,0.7213344454934275
RCA_Supervised,isolet,(7797|617|26),10,0.3,0.7060784816619646,0.7091332586123508,0.7102071382514163,0.7063609545685045
MMC_Supervised,isolet,(7797|617|26),10,0,0.38291869710182097,0.37366141655694424,0.3857936073403035,0.3738092140675102
